CMDLINE C:\Users\koehl\miniconda3\envs\master_thesis\python.exe ss_2_aggregation.py
MEM 1.621094 1668940569.8177
MEM 16.308594 1668940569.9178
MEM 25.339844 1668940570.0284
MEM 31.066406 1668940570.1380
MEM 39.363281 1668940570.2501
MEM 45.105469 1668940570.3618
MEM 55.976562 1668940570.4730
MEM 64.773438 1668940570.5831
MEM 72.667969 1668940570.6950
MEM 85.332031 1668940570.8061
MEM 91.039062 1668940570.9165
MEM 97.250000 1668940571.0286
MEM 104.562500 1668940571.1382
MEM 108.406250 1668940571.2489
MEM 111.335938 1668940571.3600
MEM 115.527344 1668940571.4698
MEM 142.035156 1668940571.5794
MEM 140.234375 1668940571.6910
