DRN - Dropout_Rates: [0.006514819, 0.0044854325] 
DRN - Dropout_Rates: [0.007970161, 0.0063100485] 
BQN - Dropout_Rates: [0.012307693, 0.010943993] 
BQN - Dropout_Rates: [0.008549919, 0.006750205] 
DRN - Dropout_Rates: [0.005300607, 0.0033584547] 
DRN - Dropout_Rates: [0.007683011, 0.0062363455] 
BQN - Dropout_Rates: [0.0048469915, 0.0029510045] 
BQN - Dropout_Rates: [0.004799766, 0.0028802757] 
DRN - Dropout_Rates: [0.011122396, 0.009403875] 
DRN - Dropout_Rates: [0.005015881, 0.0036155481] 
BQN - Dropout_Rates: [0.0046659196, 0.003131698] 
BQN - Dropout_Rates: [0.0049374723, 0.003003719] 
DRN - Dropout_Rates: [0.0076274085, 0.006237629] 
DRN - Dropout_Rates: [0.005151433, 0.0035052767] 
BQN - Dropout_Rates: [0.007350014, 0.0055313627] 
BQN - Dropout_Rates: [0.006353586, 0.0046044462] 
DRN - Dropout_Rates: [0.009475973, 0.007519145] 
DRN - Dropout_Rates: [0.0051793763, 0.0032318407] 
BQN - Dropout_Rates: [0.0057448815, 0.0036436752] 
BQN - Dropout_Rates: [0.01124831, 0.009937384] 
DRN - Dropout_Rates: [0.007683033, 0.0058019655] 
DRN - Dropout_Rates: [0.008536824, 0.006973483] 
BQN - Dropout_Rates: [0.0046999645, 0.0033118527] 
BQN - Dropout_Rates: [0.00818345, 0.0062565203] 
DRN - Dropout_Rates: [0.009113292, 0.0076373657] 
DRN - Dropout_Rates: [0.005090507, 0.003393624] 
BQN - Dropout_Rates: [0.0047142664, 0.0030910212] 
BQN - Dropout_Rates: [0.012737955, 0.010639126] 
DRN - Dropout_Rates: [0.004978569, 0.0036823153] 
DRN - Dropout_Rates: [0.005048333, 0.0033932114] 
BQN - Dropout_Rates: [0.004613941, 0.003179517] 
BQN - Dropout_Rates: [0.013060013, 0.011917903] 
DRN - Dropout_Rates: [0.009792033, 0.007619043] 
DRN - Dropout_Rates: [0.0089473585, 0.007311106] 
BQN - Dropout_Rates: [0.009157535, 0.007011224] 
BQN - Dropout_Rates: [0.01086991, 0.009356023] 
DRN - Dropout_Rates: [0.005286712, 0.0033831624] 
DRN - Dropout_Rates: [0.0058827726, 0.0046330504] 
BQN - Dropout_Rates: [0.0062358994, 0.004585916] 
BQN - Dropout_Rates: [0.0045946683, 0.0029784106] 
