DRN - Dropout_Rates: [0.00018252632, 0.00014605923] 
DRN - Dropout_Rates: [0.00016296498, 0.00020264507] 
BQN - Dropout_Rates: [0.000181188, 0.00019415058] 
BQN - Dropout_Rates: [0.00017387308, 0.00021247892] 
DRN - Dropout_Rates: [0.00016551904, 0.0001907868] 
DRN - Dropout_Rates: [0.00018978764, 0.00014514833] 
BQN - Dropout_Rates: [0.00016737163, 0.00019432153] 
BQN - Dropout_Rates: [0.00020377718, 0.00017292702] 
DRN - Dropout_Rates: [0.00017924336, 0.00014677785] 
BQN - Dropout_Rates: [0.00016874139, 0.00016484273] 
