BQN - Dropout_Rates: [0.0868998, 0.10290644] 
BQN - Dropout_Rates: [0.086783126, 0.103030704] 
DRN - Dropout_Rates: [0.08012529, 0.097466946] 
DRN - Dropout_Rates: [0.09679698, 0.100755446] 
DRN - Dropout_Rates: [0.09417977, 0.09912994] 
BQN - Dropout_Rates: [0.093684986, 0.1009279] 
BQN - Dropout_Rates: [0.091604464, 0.10162499] 
DRN - Dropout_Rates: [0.09281153, 0.10160315] 
BQN - Dropout_Rates: [0.06887936, 0.09170894] 
BQN - Dropout_Rates: [0.08960255, 0.1014264] 
